class,words
ham,"['set', 'place', 'for', 'me', 'in', 'your', 'heart', 'and', 'not', 'in', 'your', 'mind', 'as', 'the', 'mind', 'easily', 'forgets', 'but', 'the', 'heart', 'will', 'always', 'remember', 'wish', 'you', 'happy', 'valentines', 'day']"
ham,"['but', 'im', 'surprised', 'she', 'still', 'can', 'guess', 'right', 'lor']"
ham,"['okie', 'wan', 'meet', 'at', 'bishan', 'cos', 'me', 'at', 'bishan', 'now', 'im', 'not', 'driving', 'today']"
ham,"['oh', 'ho', 'is', 'this', 'the', 'first', 'time', 'use', 'these', 'type', 'of', 'words']"
ham,"['hi', 'darlin', 'how', 'was', 'work', 'did', 'get', 'into', 'trouble', 'ijust', 'talked', 'to', 'your', 'mum', 'all', 'morning', 'had', 'really', 'good', 'time', 'last', 'night', 'im', 'goin', 'out', 'soon', 'but', 'call', 'me', 'if', 'can']"
ham,"['know', 'you', 'are', 'serving', 'mean', 'what', 'are', 'you', 'doing', 'now']"
ham,"['huh', 'hyde', 'park', 'not', 'in', 'mel', 'ah', 'opps', 'got', 'confused', 'anyway', 'if', 'tts', 'best', 'choice', 'den', 'we', 'juz', 'have', 'to', 'take', 'it']"
ham,"['oh', 'gei', 'that', 'happend', 'to', 'me', 'in', 'tron', 'maybe', 'ill', 'dl', 'it', 'in', 'when', 'its', 'out']"
spam,"['free', 'message', 'activate', 'your', 'free', 'text', 'messages', 'by', 'replying', 'to', 'this', 'message', 'with', 'the', 'word', 'free', 'for', 'terms', 'conditions', 'visit', 'wwwcom']"
ham,"['know', 'girls', 'always', 'safe', 'and', 'selfish', 'know', 'got', 'it', 'pa', 'thank', 'you', 'good', 'night']"
ham,"['no', 'worries', 'hope', 'photo', 'shoot', 'went', 'well', 'have', 'spiffing', 'fun', 'at', 'workage']"
ham,"['im', 'freezing', 'and', 'craving', 'ice', 'fml']"
ham,"['kay', 'since', 'we', 'are', 'out', 'already']"
ham,"['eh', 'sorry', 'leh', 'din', 'ur', 'msg', 'not', 'sad', 'already', 'lar', 'me', 'watching', 'tv', 'now', 'still', 'in', 'office']"
ham,"['yo', 'im', 'right', 'by', 'yo', 'work']"
ham,"['ok', 'darlin', 'supose', 'it', 'was', 'ok', 'just', 'worry', 'too', 'muchi', 'have', 'to', 'do', 'some', 'film', 'stuff', 'my', 'mate', 'and', 'then', 'have', 'to', 'babysit', 'again', 'but', 'you', 'can', 'call', 'me', 'therexx']"
ham,"['she', 'said', 'do', 'mind', 'if', 'go', 'into', 'the', 'bedroom', 'for', 'minute', 'ok', 'sed', 'in', 'sexy', 'mood', 'she', 'came', 'out', 'minuts', 'latr', 'wid', 'caken', 'my', 'wife']"
ham,"['don', 'wake', 'since', 'checked', 'that', 'stuff', 'and', 'saw', 'that', 'its', 'true', 'no', 'available', 'spaces', 'pls', 'call', 'the', 'embassy', 'or', 'send', 'mail', 'to', 'them']"
ham,"['nope', 'juz', 'off', 'from', 'work']"
ham,"['huh', 'so', 'fast', 'dat', 'means', 'havent', 'finished', 'painting']"
ham,"['what', 'number', 'do', 'live', 'at', 'is', 'it']"
ham,"['no', 'we', 'put', 'party', 'days', 'week', 'and', 'study', 'lightly', 'think', 'we', 'need', 'to', 'draw', 'in', 'some', 'custom', 'checkboxes', 'so', 'they', 'know', 'were', 'hardcore']"
ham,"['sac', 'will', 'score', 'big', 'hundredhe', 'is', 'set', 'batsman']"
ham,"['send', 'me', 'yettys', 'number', 'pls']"
ham,"['how', 'much', 'it', 'will', 'cost', 'approx', 'per', 'month']"
ham,"['ok', 'the', 'theory', 'test', 'when', 'are', 'going', 'to', 'book', 'think', 'its', 'on', 'may', 'coz', 'thought', 'wanna', 'go', 'out', 'with', 'jiayin', 'but', 'she', 'isnt', 'free']"
spam,"['you', 'are', 'being', 'contacted', 'by', 'our', 'dating', 'service', 'by', 'someone', 'you', 'know', 'to', 'find', 'out', 'who', 'it', 'is', 'call', 'from', 'land', 'line', 'poboxwtgp']"
ham,"['thats', 'fine', 'have', 'him', 'give', 'me', 'call', 'if', 'he', 'knows', 'what', 'he', 'wants', 'or', 'has', 'any', 'questions']"
ham,"['sorry', 'got', 'late', 'start', 'were', 'on', 'the', 'way']"
ham,"['then', 'go', 'back', 'urself', 'lor']"
ham,"['am', 'at', 'the', 'gas', 'station', 'go', 'there']"
ham,"['if', 'bored', 'up', 'just', 'come', 'to', 'my', 'home']"
ham,"['babe', 'love', 'you', 'covers', 'your', 'face', 'in', 'kisses']"
ham,"['like', 'made', 'him', 'throw', 'up', 'when', 'we', 'were', 'smoking', 'in', 'our', 'friends', 'car', 'one', 'time', 'it', 'was', 'awesome']"
ham,"['still', 'have', 'not', 'checked', 'it', 'da']"
ham,"['you', 'will', 'go', 'to', 'walmart', 'ill', 'stay']"
ham,"['havent', 'forgotten', 'you', 'might', 'have', 'couple', 'bucks', 'to', 'send', 'you', 'tomorrow', 'love', 'ya', 'too']"
ham,"['oh', 'great', 'ill', 'disturb', 'him', 'more', 'so', 'that', 'we', 'can', 'talk']"
ham,"['reverse', 'is', 'cheating', 'that', 'is', 'not', 'mathematics']"
ham,"['ure', 'welcome', 'caught', 'using', 'broken', 'english', 'again']"
ham,"['no', 'problem', 'baby', 'is', 'this', 'is', 'good', 'time', 'to', 'talk', 'called', 'and', 'left', 'message']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['oh', 'is', 'it', 'which', 'brand']"
ham,"['sorry', 'cant', 'take', 'your', 'call', 'right', 'now', 'it', 'so', 'happens', 'that', 'there', 'waxsto', 'do', 'wat', 'you', 'want', 'she', 'can', 'come', 'and', 'ill', 'get', 'her', 'medical', 'insurance', 'and', 'shell', 'be', 'able', 'to', 'deliver', 'and', 'have', 'basic', 'care', 'im', 'currently', 'shopping', 'for', 'the', 'right', 'medical', 'insurance', 'for', 'her', 'so', 'just', 'give', 'me', 'til', 'friday', 'morning', 'thats', 'when', 'ill', 'see', 'the', 'major', 'person', 'that', 'can', 'guide', 'me', 'to', 'the', 'right', 'insurance']"
ham,"['at', 'what', 'time', 'are', 'you', 'coming']"
ham,"['call', 'him', 'and', 'say', 'you', 'not', 'coming', 'today', 'ok', 'and', 'tell', 'them', 'not', 'to', 'fool', 'me', 'like', 'this', 'ok']"
ham,"['emailed', 'yifeng', 'my', 'part', 'oredi', 'can', 'get', 'it', 'fr', 'him']"
ham,"['sure', 'theyll', 'understand', 'that', 'wine', 'good', 'idea', 'just', 'had', 'slurp']"
ham,"['minimum', 'walk', 'is', 'miles', 'day']"
ham,"['ok', 'not', 'problem', 'will', 'get', 'them', 'taxi', 'ing', 'tomorrow', 'and', 'tuesday', 'on', 'tuesday', 'think', 'we', 'all', 'going', 'to', 'the', 'cinema']"
ham,"['brainless', 'baby', 'dolld', 'vehicle', 'sariyag', 'drive', 'madoke', 'barolla']"
ham,"['dont', 'run', 'away', 'frm', 'walk', 'slowly', 'amp', 'it', 'kills', 'me', 'that', 'dont', 'care', 'enough', 'to', 'stop', 'me']"
spam,"['sorry', 'missed', 'your', 'call', 'lets', 'talk', 'when', 'you', 'have', 'the', 'time', 'im', 'on']"
ham,"['please', 'attend', 'the', 'phone']"
ham,"['you', 'only', 'hate', 'me', 'you', 'can', 'call', 'any', 'but', 'you', 'didnt', 'accept', 'even', 'single', 'call', 'of', 'mine', 'or', 'even', 'you', 'messaged']"
ham,"['no', 'messages', 'on', 'her', 'phone', 'im', 'holding', 'it', 'now']"
ham,"['can', 'im', 'free']"
ham,"['yo', 'my', 'trip', 'got', 'postponed', 'you', 'still', 'stocked', 'up']"
ham,"['sorry', 'ill', 'call', 'later']"
ham,"['am', 'waiting', 'for', 'your', 'call', 'sir']"
ham,"['hey', 'what', 'are', 'you', 'doing', 'no', 'reply', 'pa']"
ham,"['hey', 'elaine', 'is', 'todays', 'meeting', 'still', 'on']"
ham,"['sorry', 'ive', 'not', 'gone', 'to', 'that', 'place', 'ill', 'do', 'so', 'tomorrow', 'really', 'sorry']"
ham,"['most', 'of', 'the', 'tiime', 'when', 'dont', 'let', 'you', 'hug', 'me', 'its', 'so', 'dont', 'break', 'into', 'tears']"
ham,"['tomorrow', 'am', 'not', 'going', 'to', 'theatre', 'so', 'can', 'come', 'wherever', 'call', 'me', 'tell', 'me', 'where', 'and', 'when', 'to', 'come', 'tomorrow']"
ham,"['and', 'now', 'electricity', 'just', 'went', 'out', 'fml']"
ham,"['looks', 'like', 'you', 'found', 'something', 'to', 'do', 'other', 'than', 'smoke', 'great', 'job']"
ham,"['also', 'andros', 'ice', 'etc', 'etc']"
ham,[]
ham,"['good', 'afternon', 'my', 'love', 'how', 'are', 'today', 'hope', 'your', 'good', 'and', 'maybe', 'have', 'some', 'interviews', 'wake', 'and', 'miss', 'you', 'babe', 'passionate', 'kiss', 'from', 'across', 'the', 'sea']"
ham,"['yup', 'wun', 'believe', 'wat', 'really', 'neva', 'msg', 'sent', 'shuhui']"
ham,"['hows', 'that', 'watch', 'resizing']"
ham,"['dear', 'umma', 'she', 'called', 'me', 'now']"
ham,"['just', 'finished', 'missing', 'you', 'plenty']"
spam,"['complimentary', 'star', 'ibiza', 'holiday', 'or', 'cash', 'needs', 'your', 'urgent', 'collection', 'now', 'from', 'landline', 'not', 'to', 'lose', 'out', 'boxskwpppm']"
ham,"['well', 'meant', 'as', 'opposed', 'to', 'my', 'drunken', 'night', 'of', 'before']"
ham,"['must', 'book', 'not', 'huh', 'so', 'going', 'for', 'yoga', 'basic', 'on', 'sunday']"
spam,"['free', 'msgwe', 'billed', 'your', 'mobile', 'number', 'by', 'mistake', 'from', 'shortcode', 'please', 'call', 'to', 'have', 'charges', 'refundedthis', 'call', 'will', 'be', 'free', 'from', 'bt', 'landline']"
ham,"['ok', 'can']"
ham,"['oops', 'am', 'at', 'my', 'mums', 'in', 'somerset', 'bit', 'far', 'back', 'tomo', 'see', 'you', 'soon']"
ham,"['so', 'workin', 'overtime', 'nigpun']"
ham,"['same', 'as', 'kallis', 'dismissial', 'in', 'nd', 'test']"
ham,"['guess', 'they', 'both', 'got', 'screwd']"
spam,"['please', 'call', 'immediately', 'as', 'there', 'is', 'an', 'urgent', 'message', 'waiting', 'for', 'you']"
ham,"['im', 'in', 'meeting', 'call', 'me', 'later', 'at']"
ham,"['what', 'cooking', 'me', 'for', 'dinner']"
ham,"['ok', 'thanx']"
ham,"['bull', 'your', 'plan', 'was', 'to', 'go', 'floating', 'off', 'to', 'ikea', 'with', 'me', 'without', 'care', 'in', 'the', 'world', 'so', 'have', 'to', 'live', 'with', 'your', 'mess', 'another', 'day']"
ham,"['then', 'buy']"
spam,"['urgent', 'your', 'mobile', 'number', 'has', 'been', 'awarded', 'with', 'bonus', 'caller', 'prize', 'call', 'from', 'land', 'line', 'valid', 'hrs', 'only']"
ham,"['heehee', 'that', 'was', 'so', 'funny', 'tho']"
ham,"['it', 'only', 'does', 'simple', 'arithmetic', 'not', 'percentages']"
ham,"['yeah', 'we', 'wouldnt', 'leave', 'for', 'an', 'hour', 'at', 'least', 'hows', 'sound']"
spam,"['as', 'valued', 'customer', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'bonus', 'prize', 'call']"
ham,"['thanks', 'honey', 'have', 'great', 'day']"
ham,"['an', 'amazing', 'quote', 'sometimes', 'in', 'life', 'its', 'difficult', 'to', 'decide', 'whats', 'wrong', 'lie', 'that', 'brings', 'smile', 'or', 'the', 'truth', 'that', 'brings', 'tear']"
ham,"['good', 'night', 'my', 'dear', 'sleepwellamptake', 'care']"
ham,"['then', 'ask', 'dad', 'to', 'pick', 'up', 'lar', 'wan', 'stay', 'until', 'meh']"
ham,"['jus', 'chillaxin', 'what', 'up']"
ham,"['hey', 'das', 'cool', 'iknow', 'all', 'wellda', 'peril', 'of', 'studentfinancial', 'crisisspk', 'lr']"
ham,"['beautiful', 'truth', 'against', 'gravity', 'read', 'carefully', 'our', 'heart', 'feels', 'light', 'when', 'someone', 'is', 'in', 'it', 'but', 'it', 'feels', 'very', 'heavy', 'when', 'someone', 'leaves', 'it', 'goodmorning']"
spam,"['do', 'you', 'want', 'new', 'nokia', 'colour', 'phone', 'deliveredtomorrow', 'with', 'free', 'minutes', 'to', 'any', 'mobile', 'free', 'texts', 'free', 'camcorder', 'reply', 'or', 'call']"
ham,"['whats', 'that', 'coming', 'over', 'the', 'hill', 'is', 'it', 'monster', 'hope', 'you', 'have', 'great', 'day', 'things', 'going', 'fine', 'here', 'busy', 'though']"
ham,"['joys', 'father', 'is', 'john', 'then', 'john', 'is', 'the', 'of', 'joys', 'father', 'if', 'ans', 'ths', 'you', 'hav', 'ltgt', 'iq', 'tis', 'ias', 'question', 'try', 'to', 'answer']"
ham,"['only', 'once', 'then', 'after', 'ill', 'obey', 'all', 'yours']"
ham,"['no', 'she', 'didnt', 'will', 'search', 'online', 'and', 'let', 'you', 'know']"
ham,"['where', 'do', 'you', 'need', 'to', 'go', 'to', 'get', 'it']"
ham,"['no', 'pic', 'please', 'resend']"
ham,"['he', 'remains', 'bro', 'amongst', 'bros']"
ham,"['uhhhhrmm', 'isnt', 'having', 'tb', 'test', 'bad', 'when', 'youre', 'sick']"
ham,"['but', 'haf', 'enuff', 'space', 'got', 'like', 'mb']"
spam,"['life', 'has', 'never', 'been', 'this', 'much', 'fun', 'and', 'great', 'until', 'you', 'came', 'in', 'you', 'made', 'it', 'truly', 'special', 'for', 'me', 'wont', 'forget', 'you', 'enjoy', 'one', 'gbpsms']"
spam,"['do', 'you', 'want', 'new', 'video', 'phone', 'anytime', 'any', 'network', 'mins', 'inclusive', 'video', 'calls', 'and', 'downloads', 'per', 'week', 'free', 'deltomorrow', 'call', 'or', 'reply', 'now']"
spam,"['as', 'valued', 'customer', 'am', 'pleased', 'to', 'advise', 'you', 'that', 'following', 'recent', 'review', 'of', 'your', 'mob', 'no', 'you', 'are', 'awarded', 'with', 'bonus', 'prize', 'call']"
spam,"['welcome', 'please', 'reply', 'with', 'your', 'age', 'and', 'gender', 'to', 'begin', 'eg']"
spam,"['freemsg', 'month', 'unlimited', 'free', 'calls', 'activate', 'smartcall', 'txt', 'call', 'to', 'no', 'subscriptngbpwk', 'unlimited', 'calls', 'help', 'stoptxt', 'stop', 'landlineonly']"
spam,"['had', 'your', 'mobile', 'mths', 'update', 'to', 'latest', 'orange', 'cameravideo', 'phones', 'for', 'free', 'save', 'with', 'free', 'textsweekend', 'calls', 'text', 'yes', 'for', 'callback', 'orno', 'to', 'opt', 'out']"
spam,"['am', 'new', 'club', 'dont', 'fink', 'we', 'met', 'yet', 'will', 'gr', 'please', 'leave', 'msg', 'day', 'wiv', 'ur', 'area', 'reply', 'promised', 'carlie', 'calls', 'minmobsmore', 'lkpoboxhpfl']"
ham,"['true', 'its', 'easier', 'with', 'her', 'here']"
ham,"['sure', 'but', 'since', 'my', 'parents', 'will', 'be', 'working', 'on', 'tuesday', 'dont', 'really', 'need', 'cover', 'story']"
ham,"['haha', 'okay', 'today', 'weekend', 'leh']"
ham,"['hi', 'darlin', 'did', 'youphone', 'me', 'im', 'athome', 'if', 'youwanna', 'chat']"
ham,"['dont', 'know', 'jack', 'shit', 'about', 'anything', 'or', 'id', 'sayask', 'something', 'helpful', 'but', 'if', 'you', 'want', 'you', 'can', 'pretend', 'that', 'did', 'and', 'just', 'text', 'me', 'whatever', 'in', 'response', 'to', 'the', 'hypotheticalhuagauahahuagahyuhagga']"
ham,"['youve', 'always', 'been', 'the', 'brainy', 'one']"
ham,"['yeah', 'if', 'we', 'do', 'have', 'to', 'get', 'random', 'dude', 'we', 'need', 'to', 'change', 'our', 'info', 'sheets', 'to', 'party', 'ltgt', 'never', 'study', 'just', 'to', 'be', 'safe']"
spam,"['camera', 'you', 'are', 'awarded', 'sipix', 'digital', 'camera', 'call', 'fromm', 'landline', 'delivery', 'within', 'days']"
ham,"['christmas', 'is', 'an', 'occasion', 'that', 'is', 'celebrated', 'as', 'reflection', 'of', 'ur', 'values', 'desires', 'affectionsamp', 'traditions', 'have', 'an', 'ideal', 'christmas']"
ham,"['sending', 'you', 'greetings', 'of', 'joy', 'and', 'happiness', 'do', 'have', 'gr', 'evening']"
ham,"['hi', 'darlin', 'cantdo', 'anythingtomorrow', 'as', 'myparents', 'aretaking', 'me', 'outfor', 'meal', 'when', 'are', 'free', 'katexxx']"
ham,"['if', 'india', 'win', 'or', 'level', 'series', 'means', 'this', 'is', 'record']"
ham,"['then', 'what', 'about', 'further', 'plan']"
ham,"['its', 'good', 'to', 'hear', 'from', 'you']"
ham,"['awesome', 'how', 'do', 'deal', 'with', 'the', 'gate', 'charles', 'told', 'me', 'last', 'night', 'but', 'uh', 'yeah']"
ham,"['what', 'time', 'you', 'thinkin', 'of', 'goin']"
spam,"['get', 'free', 'mobile', 'video', 'player', 'free', 'movie', 'to', 'collect', 'text', 'go', 'to', 'its', 'free', 'extra', 'films', 'can', 'be', 'ordered', 'ts', 'and', 'cs', 'apply', 'yrs', 'only']"
spam,"['save', 'money', 'on', 'wedding', 'lingerie', 'at', 'wwwbridalpetticoatdreamscouk', 'choose', 'from', 'superb', 'selection', 'with', 'national', 'delivery', 'brought', 'to', 'you', 'by', 'weddingfriend']"
ham,"['your', 'board', 'is', 'working', 'fine', 'the', 'issue', 'of', 'overheating', 'is', 'also', 'reslove', 'but', 'still', 'software', 'inst', 'is', 'pending', 'will', 'come', 'around', 'clock']"
ham,"['yes', 'but', 'dont', 'care', 'cause', 'know', 'its', 'there']"
ham,"['wiskey', 'brandy', 'rum', 'gin', 'beer', 'vodka', 'scotch', 'shampain', 'wine', 'kudiyarasu', 'dhina', 'vaazhthukkal']"
ham,"['mon', 'okie', 'lor', 'haha', 'best', 'is', 'cheap', 'gd', 'food', 'la', 'ex', 'oso', 'okie', 'depends', 'on', 'whether', 'wana', 'eat', 'western', 'or', 'chinese', 'food', 'den', 'which', 'prefer']"
ham,"['sitting', 'ard', 'nothing', 'to', 'do', 'lor', 'leh', 'busy', 'work']"
ham,"['its', 'ltgt', 'here', 'oh', 'should', 'send', 'home', 'for', 'sale']"
ham,"['sorry', 'mail']"
ham,"['ya', 'just', 'telling', 'abt', 'tht', 'incident']"
ham,"['yes', 'we', 'were', 'outside', 'for', 'like', 'hours', 'and', 'called', 'my', 'whole', 'family', 'to', 'wake', 'them', 'up', 'cause', 'it', 'started', 'at', 'am']"
ham,"['ugh', 'just', 'got', 'outta', 'class']"
ham,"['nowadays', 'people', 'are', 'notixiquating', 'the', 'laxinorficated', 'opportunity', 'for', 'bambling', 'of', 'entropication', 'have', 'you', 'ever', 'oblisingately', 'opted', 'ur', 'books', 'for', 'the', 'masteriastering', 'amplikater', 'of', 'fidalfication', 'it', 'is', 'very', 'champlaxigating', 'think', 'it', 'is', 'atrocious', 'wotz', 'ur', 'opinion', 'junna']"
ham,"['dont', 'have', 'any', 'of', 'your', 'file', 'in', 'my', 'bagi', 'was', 'in', 'work', 'when', 'you', 'called', 'mei', 'll', 'tell', 'you', 'if', 'find', 'anything', 'in', 'my', 'room']"
ham,"['no', 'need', 'lar', 'jus', 'testing', 'phone', 'card', 'dunno', 'network', 'not', 'gd', 'thk', 'me', 'waiting', 'my', 'sis', 'finish', 'bathing', 'so', 'can', 'bathe', 'dun', 'disturb', 'liao', 'cleaning', 'ur', 'room']"
ham,"['ok', 'ill', 'do', 'you', 'right', 'later']"
ham,"['friendship', 'poem', 'dear', 'dear', 'not', 'near', 'but', 'can', 'hear', 'dont', 'get', 'fear', 'live', 'with', 'cheer', 'no', 'more', 'tear', 'always', 'my', 'dear', 'gud', 'ni']"
ham,"['have', 'your', 'lunch', 'and', 'come', 'quickly', 'and', 'open', 'the', 'door']"
spam,"['not', 'heard', 'from', 'while', 'call', 'me', 'now', 'am', 'here', 'all', 'night', 'with', 'just', 'my', 'knickers', 'on', 'make', 'me', 'beg', 'for', 'it', 'like', 'did', 'last', 'time', 'xx', 'luv', 'nikiyunet']"
ham,"['am', 'back', 'bit', 'long', 'cos', 'of', 'accident', 'on', 'had', 'to', 'divert', 'via', 'wadebridgei', 'had', 'brilliant', 'weekend', 'thanks', 'speak', 'soon', 'lots', 'of', 'love']"
ham,"['yan', 'jiu', 'liao', 'sat', 'we', 'can', 'go', 'bugis', 'vill', 'one', 'frm', 'to', 'den', 'hop', 'to', 'parco', 'nb', 'sun', 'can', 'go', 'cine', 'frm', 'to', 'den', 'hop', 'to', 'orc', 'mrt', 'hip', 'hop', 'at']"
spam,"['bloomberg', 'message', 'center', 'why', 'wait', 'apply', 'for', 'your', 'future', 'httpcareers', 'bloombergcom']"
ham,"['am', 'seeking', 'lady', 'in', 'the', 'street', 'and', 'freak', 'in', 'the', 'sheets', 'is', 'that', 'you']"
ham,"['my', 'phone']"
ham,"['haha', 'figures', 'well', 'found', 'the', 'piece', 'and', 'priscillas', 'bowl']"
ham,"['actually', 'fuck', 'that', 'just', 'do', 'whatever', 'do', 'find', 'an', 'excuse', 'to', 'be', 'in', 'tampa', 'at', 'some', 'point', 'before', 'january', 'though']"
spam,"['urgent', 'we', 'are', 'trying', 'to', 'contact', 'todays', 'draw', 'shows', 'that', 'you', 'have', 'won', 'prize', 'guaranteed', 'call', 'from', 'land', 'line', 'claim', 'validhrs', 'only']"
ham,"['yay', 'finally', 'lol', 'missed', 'our', 'cinema', 'trip', 'last', 'week']"
ham,"['all', 'day', 'working', 'dayexcept', 'saturday', 'and', 'sunday']"
ham,"['aathiwhere', 'are', 'you', 'dear']"
ham,"['heart', 'is', 'empty', 'without', 'love', 'mind', 'is', 'empty', 'without', 'wisdom', 'eyes', 'empty', 'without', 'dreams', 'amp', 'life', 'is', 'empty', 'without', 'frnds', 'so', 'alwys', 'be', 'in', 'touch', 'good', 'night', 'amp', 'sweet', 'dreams']"
ham,"['think', 'waiting', 'for', 'the', 'same', 'bus', 'inform', 'me', 'when', 'you', 'get', 'there', 'if', 'you', 'ever', 'get', 'there']"
ham,"['you', 'getting', 'back', 'any', 'time', 'soon']"
ham,"['hows', 'things', 'just', 'quick', 'question']"
ham,"['night', 'has', 'ended', 'for', 'another', 'day', 'morning', 'has', 'come', 'in', 'special', 'way', 'may', 'you', 'smile', 'like', 'the', 'sunny', 'rays', 'and', 'leaves', 'your', 'worries', 'at', 'the', 'blue', 'blue', 'bay', 'gud', 'mrng']"
ham,"['can', 'probably', 'come', 'by', 'everybodys', 'done', 'around', 'ltgt', 'right']"
ham,"['got', 'it', 'before', 'the', 'new', 'year', 'cos', 'yetunde', 'said', 'she', 'wanted', 'to', 'surprise', 'you', 'with', 'it', 'but', 'when', 'didnt', 'see', 'money', 'returned', 'it', 'mid', 'january', 'before', 'the', 'ltgt', 'day', 'return', 'period', 'ended']"
ham,"['can', 'ask', 'around', 'but', 'theres', 'not', 'lot', 'in', 'terms', 'of', 'mids', 'up', 'here']"
ham,"['be', 'sure', 'to', 'check', 'your', 'yahoo', 'email', 'we', 'sent', 'photos', 'yesterday']"
ham,"['what', 'was', 'she', 'looking', 'for']"
ham,"['wherres', 'my', 'boytoy']"
spam,"['do', 'you', 'want', 'new', 'video', 'phone', 'anytime', 'any', 'network', 'mins', 'text', 'for', 'only', 'five', 'pounds', 'per', 'week', 'call', 'now', 'or', 'reply', 'for', 'delivery', 'tomorrow']"
ham,"['hello', 'my', 'love', 'how', 'goes', 'that', 'day', 'wish', 'your', 'well', 'and', 'fine', 'babe', 'and', 'hope', 'that', 'you', 'find', 'some', 'job', 'prospects', 'miss', 'you', 'boytoy', 'teasing', 'kiss']"
ham,"['tell', 'my', 'bad', 'character', 'which', 'dnt', 'lik', 'in', 'me', 'ill', 'try', 'to', 'change', 'in', 'ltgt', 'll', 'add', 'tat', 'my', 'new', 'year', 'resolution', 'waiting', 'for', 'ur', 'replybe', 'frankgood', 'morning']"
ham,"['noi', 'got', 'rumour', 'that', 'you', 'going', 'to', 'buy', 'apartment', 'in', 'chennai']"
ham,"['yeah', 'probably', 'earlier', 'than', 'that']"
ham,"['change', 'windows', 'logoff', 'sound']"
ham,"['still', 'have', 'not', 'checked', 'it', 'da']"
ham,"['im', 'also', 'came', 'to', 'room']"
ham,"['huh', 'but', 'got', 'lesson', 'at', 'lei', 'was', 'thinkin', 'of', 'going', 'to', 'sch', 'earlier', 'tot', 'of', 'parkin', 'at', 'kent', 'vale']"
ham,['ok']
ham,"['will', 'reach', 'office', 'around', 'ltdecimalgt', 'amp', 'my', 'mobile', 'have', 'problem', 'you', 'cannt', 'get', 'my', 'voice', 'so', 'call', 'you', 'asa', 'ill', 'free']"
ham,"['cool', 'text', 'me', 'when', 'you', 'head', 'out']"
spam,"['you', 'are', 'being', 'contacted', 'by', 'our', 'dating', 'service', 'by', 'someone', 'you', 'know', 'to', 'find', 'out', 'who', 'it', 'is', 'call', 'from', 'land', 'line', 'poboxwtgp']"
spam,"['wan', 'win', 'meetgreet', 'with', 'westlife', 'or', 'they', 'are', 'currently', 'on', 'what', 'tour', 'unbreakable', 'untamed', 'unkempt', 'text', 'or', 'to', 'cost', 'std', 'text']"
ham,"['happy', 'birthday', 'may', 'find', 'ur', 'prince', 'charming', 'soon', 'dun', 'work', 'too', 'hard']"
ham,"['oh', 'the', 'grand', 'is', 'having', 'bit', 'of', 'party', 'but', 'it', 'doesnt', 'mention', 'any', 'cover', 'charge', 'so', 'its', 'probably', 'first', 'come', 'first', 'served']"
ham,"['you', 'said', 'to', 'me', 'before', 'went', 'back', 'to', 'bed', 'that', 'you', 'cant', 'sleep', 'for', 'anything']"
ham,"['hope', 'you', 'arnt', 'pissed', 'off', 'but', 'id', 'would', 'really', 'like', 'to', 'see', 'you', 'tomorrow', 'love', 'me', 'xxxxxxxxxxxxxx']"
spam,"['dorothykiefercom', 'bank', 'of', 'granite', 'issues', 'strongbuy', 'explosive', 'pick', 'for', 'our', 'members', 'up', 'over', 'nasdaq', 'symbol', 'cdgt', 'that', 'is', 'per']"
ham,"['says', 'the', 'ltgt', 'year', 'old', 'with', 'man', 'and', 'money', 'im', 'down', 'to', 'my', 'last', 'ltgt', 'still', 'waiting', 'for', 'that', 'check']"
ham,"['will', 'come', 'to', 'ur', 'home', 'now']"
ham,"['free', 'any', 'day', 'but', 'finish', 'at', 'on', 'mon', 'thurs']"
ham,"['will', 'you', 'be', 'here', 'for', 'food']"
ham,"['life', 'alle', 'moneeppolum', 'oru', 'pole', 'allalo']"
ham,['nite']
ham,"['two', 'fundamentals', 'of', 'cool', 'life', 'walk', 'like', 'you', 'are', 'the', 'king', 'or', 'walk', 'like', 'you', 'dont', 'carewhoever', 'is', 'the', 'king', 'gud', 'nyt']"
ham,"['camera', 'quite', 'good', 'mega', 'pixels', 'optical', 'and', 'digital', 'dooms', 'have', 'lovely', 'holiday', 'be', 'safe', 'and', 'hope', 'you', 'hav', 'good', 'journey', 'happy', 'new', 'year', 'to', 'you', 'both', 'see', 'you', 'in', 'couple', 'of', 'weeks']"
ham,"['hi', 'peteynoi', 'ok', 'just', 'wanted', 'chat', 'coz', 'avent', 'spoken', 'long', 'timehope', 'ur', 'doin', 'alritehave', 'good', 'nit', 'at', 'js', 'love', 'ya', 'amx']"
ham,"['just', 'saw', 'ron', 'burgundy', 'captaining', 'party', 'boat', 'so', 'yeah']"
ham,"['im', 'serious', 'you', 'are', 'in', 'the', 'money', 'base']"
ham,"['already', 'one', 'guy', 'loving', 'you']"
ham,"['staff', 'of', 'placement', 'training', 'in', 'amrita', 'college']"
ham,"['always', 'chat', 'with', 'you', 'in', 'fact', 'need', 'money', 'can', 'you', 'raise', 'me']"
ham,"['im', 'job', 'profile', 'seems', 'like', 'bpo']"
